"page","date","transaction","pounds ","shillings","pence","contemp notes","comments"
"page 1",,,,,,,
,1798,,,,,,"previous use"
,"August 27","Ashley Graves Dr. PP [J?] Green pd",,13,,,"previous use"
,,"Alston George Dr. PP Self pd",,14,6,,"previous use"
,1799,,,,,,"previous use"
,"June 2","Alston Absalom Dr. PP Self [?] pd","[1?]","[10?]",,,"previous use"
,"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------","--------------------"
,,"Webbs Moses Dr.",,,,,
,"Dec 27","1 Skillet",,6,,,
,,"Ned }",,,,,
,,"1 pr. Shoes 20/- }",,,,,
,,"} Miller George D.",,,,,"this is parallel to Ned's entry, but seem unrelated"
,,"} 2 quts Whiskey",,7,,,"this is parallel to Ned's entry, but seem unrelated"
,""" 29","Webbs Dick Dr.",,,,,
,,"1 qt Rum",,5,,,
,,"1 qt Brandy 4/-",,,,,
,,"Big Jim Dr.",,,,,
,,"[Mercho?] pd [Charity?]",,5,,,
,,"Umphrey Dr.",,,,,
,"carrid","2 * Sugar 4/-",,,,,
,"forwd.",,,,,,
,,"----",,,,,
,,"Webbs Moses Dr.",,,,,
,,"4 1/4 yds Jeans 32/ 1 [hk?] Silk 1/3",1,13,3,,"silk handkerchief? for jean, see http://www.wmboothdraper.com/Wool/wools_index.htm#jean"
,,"By Cash in part $ 3",1,10,,,
,,"due",,3,3,,
,,"Donom Dr.",,,,,
,"May 19","1 [?] * Sugar",,"[illegible]","[illegible]",,
,"June 23","1 hat",,15,,,
,"~~~~~~~~~~","~~~~~~~~~~","~~~~~~~~~~","~~~~~~~~~~","~~~~~~~~~~","~~~~~~~~~~","~~~~~~~~~~"
,,"Lewis Wms Dr.",,,,,
,,"To balance of Sugar",,,6,,
,"May 21","1 qt Brandy",,4,,,
,"June 6","2 Pipes",,,6,,
"page 2",,,,,,,
,1792,,,,,,"previous use"
,"Jany. 11","Baxter Reuben Dr. PP Self L paid",,6,6,"pd","previous use"
,""" ""","Baxter Caty Dr. PP Self",,3,6,,"previous use"
,1799,,,,,,"previous use"
,"Novr. 6","Brown John Dr. PP Self",,1,,,"previous use"
,1798,,,,,,"previous use"
,"August 27","Brinkley Eley Dr. PP Self paid",,8,,"paid","previous use"
,"Decr. 3rd","Brown George Dr. PP Self",,1,6,,"previous use"
,1799,,,,,,"previous use"
,"March 3","Barton Thomas Dr. PP Self paid",,16,3,"pd","previous use"
,""" ""","Bonner William Dr. PP Self",2,19,6,,"previous use"
,""" ""","Bonner Ezekiel Dr. PP Self",,1,6,,"previous use"
,"~~~~~~~~~~","~~~~~~~~~~","~~~~~~~~~~","~~~~~~~~~~","~~~~~~~~~~","~~~~~~~~~~","~~~~~~~~~~"
,,"Lewis (Wms) Dr.",,,,,
,,"1 hat in part",,12,6,,
,"July 8","1 Lock",,1,,,
,"Augt. 8","1 qt Rum for Holloways Harry",,5,,,
,"Octo 18","1 quart Brandy",,5,,,
,"Nov","1 quart Rum",,5,,,
,,"----","----","----","----",,
,,,1,8,6,,
,,"Cr By 2 Bed Cords L .. 10.0",,,,,
,,"By 3 Days Work ..12.0",,,,,
,,"Due",,6,6,,
,1807,,,,,,
,"Apl 4","To 1 Barcelona Hkf",,12,6,,"A handkerchief of soft, twilled silk from Barcelona, usually black; used as a neckerchief (Berg Fashion Library)"
,,"1 Thimble 1/",,1,,,
,,"Settled L",1,0,,,
,,"By 1 Bed Cord",,5,,,
,"3 * Sugar",,,15,,,"this is settling up, not the charge for the sugar and hat"
,"1 Hat [illegible]",,,,,,
,,"1 Qt Brandy",,4,,,
,,,,19,,,
,,"1 Hat [17/8?]",,,,,
"page 3",,,,,,,
,1792,,,,,,"previous use"
,"Janry 11","Coker David Dr. PP Self paid",,4,,,"previous use"
,1799,,,,,,"previous use"
,"Novr. 6","Clements Dayton [Payton?] Dr. PP Self paid",,3,6,"pd","previous use"
,1792,,,,,,"previous use"
,"Janry [?]","Carrington [obliterated]","[obliterated]","[obliterated]","[obliterated]",,"previous use"
,1799,,,,,,"previous use"
,"pd June 24th","Carrington pd James pd Capt. Junr. Dr. PP Self pd",,3,5,"Note","previous use"
,""" ""","Carrington, Ephraim Dr. PP Self",,15,0,,"previous use"
,"August 4","Cash Josiah paid Dr. PP Self pd",1,1,0,"pd","previous use"
,""" pd","Cary George Dr. PP self pd.",1,2,6,,"previous use"
,"""""","Cole Levi Dr. Self",,1,3,,"previous use"
,""" "" pd","Chizenhale Reuben dr. Self",,1,3,,"previous use"
,1798,,,,,,"previous use"
,"Novr. 26","Carden John Dr. PP Self",,2,9,,"previous use"
"X X X X X X X X","X X X X X X X X","X X X X X X X X","X X X X X X X X","X X X X X X X X","X X X X X X X X","X X X X X X X X",
,1806,"Donom Dr",,,,,
,"July 24","2 Dutch Locks a 2/6",,5,,,
,"Sept 26","1 Quart Rum",,5,,,
,1807,"Big Jim Dr.",,,,,
,"----",,,,,,
,"Feby 3","1 Quart Brandy",,4,,,
,"----",,,,,,
,,"Jerry Dr.",,,,,
,,"1 pr Knitting Needles",,1,,,
,"Mar 2","1 paper pens 2/6 for Ned",,1,6,,
,"----",,,,,,
,,"Webbs Moses Dr.",,,,,
,"Feby 21","1 Qt Brandy imp [?]",,7,6,,
"page 4",,,,,,,
,1792,,,,,,"previous use"
,"Jany 11","Davis Samuel Dr. PP Self L","paid",2,0,,"previous use"
,1797,,,,,,"previous use"
,"Novr 6","Dosset William Junr. Dr. PP Self","paid",7,0,,"previous use"
,1798,,,,,,"previous use"
,"April 9th","Davie R. William Dr. PP Self","pd",15,9,,"previous use"
,"Novr 26 pd","Desern Nathaniel Dr. PP Self","paid",9,0,"pd","previous use"
,1799,,,,,,"previous use"
,"June 24","Dollar William pd Dr. PP Self","paid",7,6,,"previous use"
,"August 4","Dosset Thomas Dr. PP Self","paid",5,0,"pd","previous use"
"----","----","----","----","----","----","----",
,,"Carolina Dr.",,,,,
,,"1 Pad Lock",,3,0,,
,1810,"Walkers Henry Dr",,,,,
,"April","1 qt Whisky 3/ 1 * Sugar 2/",,5,,,
,1811,,,,,,
,"Febry","1 pr Hinges 4/- 1/2 [nez cash?] @ 9",0,4,9,,
,,"3 [quantity crossed out] yds Muslin @ 8/6",1,5,6,,
,,"1 quart Brandy",0,4,0,,
,,"[total] L",1,19,3,,
,"----",,,,,,
,,"Frank Kinnon Dr",,,,,
,,"1 1/4 * Sugar",,2,6,,
,"July 21","2 oz [illegible]",,"[5?]",,,
,"Dec 25","[illegible] [Gripe?] [illegible]",,"[3?]","[6?]",,
"----","----","----","----","----","----",,
,1810,"Grandsir Nead Dr.",,,,,
,"April","2 Sugar 4/ Whiskey 2/ 1 qt Whisky 3/6",,,,,
,"July","5 * Sugar 10/-",,,,,
"----","----","----","----","----","----",,
,,"Dr. Jerry",,,,,
,,"1 [symbol] Sugar 2/-",,2,0,,
,,"1 Fan 4/-",,4,0,,
"----","----","----","----","----","----",,
,,"Grandsor Nead is due","""",1,9,,
,,"1 Pint Whisky [[illegible] Rum is crossed out]","""",1,9,,
,,"1 [symbol] Sugar 2/ 1 qt Brandy 3/8",,5,6,,
,,"[total] carrd forward L",0,9,0,,
"page 5",,,,,,,
,,"Donom Dr.",,,,,
,"Sepr 17","1 quart Rum 5/",,5,0,,
,1810,"1 1/2 yds Edgin [?]",,3,9,,"looks as though May 1810 transaction = ""edgin"" and cotton ball"
,"May","1 Cotton Ball",,1,6,,"looks as though May 1810 transaction = ""edgin"" and cotton ball"
,"Augt 7","1 cap patern 5/ Thread 1/",,6,0,,
,,"Ba[g?] of Sugar @ 6 1 pr Pins 4/",,4,6,,
,"Transferd","2 yds Lockt Ribbon",,2,0,,
,,"[total] L",1,2,9,,
"----","----","----","----","----","----",,
,,"Big George Dr.",,,,,
,"Dec 25","1 doz needles 1/- 1 p pins 2/6",,3,6,,
,""" ""","1 Cotton Bandanna",,7,6,,
,,"[total]",,11,,,
,"----",,,,,,
,,"By cash in part",,6,3,,
,,"[remainder]",,4,9,,
,,"1 Cotton Bandana",,7,6,,
,"Augt 9","1 yd India cotton",,5,0,,
,"Nov 18","1 qt Whisky 3/- 1 [symbol] Sugar 2/-",,5,0,,
,,"1 Fine Hat 60/- 3 1/2 yds Durants 17/6",,2,6,,
,,"[total]",1,4,9,,
,,"By 1 Whip 3/-",,,,,
,1810,"Matthew Dr.",,,,,
,"Sept 9","1 pt Brandy",,1,9,,
,,"1 qt Whisky",,3,6,,
"page 6",,,,,,,
,1792,,,,,,
,"August [21?]","Farmer Sarah Dr. PP Self L",,6,,,"previous use"
,""" ""","Fosset Henry Dr. PP Self",,6,6,,"previous use"
,1798,,,,,,"previous use"
,"Decr. 3","Forrest Stephen pd Dr. PP Self","paid",7,6,"pd","previous use"
,"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------","--------------------"
,,"Luke Dr.",,,,,
,,"1 Hat 25/",1,5,,,
,,"2 qts Whisky",,7,,,
,,"1 quart Ditto",,3,6,,
,,,"----","----","----",,
,,"Whisky [illegible] Phillip cr L",1,15,6,,
,,,2,6,6,,
