BK_SOURCE,BK_DEBIT_CREDIT,Folio Side,Year,Month,Day,entry,Page,,£,£,sh,d,$,¢,BK_WHEN,BK_BETWEEN,BK_MONEY1,BK_MONEY2,BK_MONEY3,$ data,¢ data,BK_ENTRY
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,,,,,,,,,,,"Fairfax, George William",,,,,,
"Ledger A, 1750 - 1772: pg.1",Debit,Left,1750,April,2,To John Welton's Order on you,,,,4,10,,,,2 April 1750,"Fairfax, George William",4,10,,,,To John Welton's Order on you
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,Octr,7,To Cash lent,,,,2,3,,,,7 October 1750,"Fairfax, George William",2,3,,,,To Cash lent
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,Novr,8,To Ditto paid Robt Worthington & Michl Sweim Chr Govr,,,,,17,3,,,8 November 1750,"Fairfax, George William",0,17,3,,,To Cash paid Robert Worthington & Micheal Sweim Chr Governorr
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,To Surveying a piece of Land for Michl Sweim pr Ordr,,,,2,3,,,,8 November 1750,"Fairfax, George William",2,3,,,,To Surveying a piece of Land for Michael Sweim per Order
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,To Cash receivd of Benja. Rutherford,,,,2,3,,,,8 November 1750,"Fairfax, George William",2,3,,,,To Cash received of Benjamin Rutherford
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,[Total],,,£,11,16,3,,,1750,"Fairfax, George William",11,16,3,,,[Total]
"Ledger A, 1750 - 1772: pg.1",Debit,Left,1755,Jany,5,To Cash paid Doctr Lynn for Hartshorn Shavings,,,,,8,,,,5 January 1755,"Fairfax, George William",,8,,,,To Cash paid Doctor Lynn for Hartshorn Shavings
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,To Ditto paid Mr Yates for 2 pr Mens Shoes,,,,1,1,,,,5 January 1755,"Fairfax, George William",1,1,,,,To Cash paid Mr Yates for 2 pair Mens Shoes
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,To Ditto for a Saddle Cloth of Richd Lewis,,,,,7,6,,,5 January 1755,"Fairfax, George William",,7,6,,,To Cash for a Saddle Cloth of Richard Lewis
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,Feby,6,To Ditto for Ditto of Mr Yates,,,,,7,6,,,6 February 1755,"Fairfax, George William",,7,6,,,To Cash for a Saddle Cloth of Mr Yates
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,To Ditto for 600 brass Nails,,,,,6,,,,6 February 1755,"Fairfax, George William",,6,,,,To Cash for 600 brass Nails
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,"To 2,000 4d Ditto of Mr Hunter",,,,,7,,,,6 February 1755,"Fairfax, George William",,7,,,,"To 2,000 4d brass nails of Mr Hunter"
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,"To 2,000 6d Ditto of Ditto",,,,,11,,,,6 February 1755,"Fairfax, George William",,11,,,,"To 2,000 6d brass nails of Mr Hunter"
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,To a Cirsingle of Mr Jackson,,,,,4,6,,,6 February 1755,"Fairfax, George William",,4,6,,,To a Cirsingle of Mr Jackson
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,To 2 Curry Combs and Brushes of Mr Cuningham,,,,,7,,,,6 February 1755,"Fairfax, George William",,7,,,,To 2 Curry Combs and Brushes of Mr Cuningham
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,To 6 Oz of Ethiops Mineral of Doctr Lynn,,,,,7,6,,,6 February 1755,"Fairfax, George William",,7,6,,,To 6 Oz of Ethiops Mineral of Doctor Lynn
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,To a Quarter built by my Carpenters for you on Shank,,,,,,,,,6 February 1755,"Fairfax, George William",,,,,,To a Quarter built by my Carpenters for you on Shank
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,Decr,8,To Cash for Quitrents as pr Settlement,,,,15,4,,,,8 December 1755,"Fairfax, George William",15,4,,,,To Cash for Quitrents as per Settlement
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,To 1333 lbs. of Pork @ 16/,,,,10,13,4,,,8 December 1755,"Fairfax, George William",10,13,4,,,To 1333 pounds of Pork @ 16/
"Ledger A, 1750 - 1772: pg.1",Debit,Left,1759,Augt,5,To 5 Loaves dble Refind Sugar wt,,48,,,,,,,5 August 1759,"Fairfax, George William",,,,,,To 5 Loaves double Refined Sugar wt 48
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,To 5 ditto single ditto,,55,,,,,,,5 August 1759,"Fairfax, George William",,,,,,To 5 Loaves single Refined Sugar 55
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,,,103 lent,,,,,,,5 August 1759,"Fairfax, George William",,,,,,103 lent
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,To 2 lb. Hyson Tea,,,,,,,,,5 August 1759,"Fairfax, George William",,,,,,To 2 pound Hyson Tea
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,Septr,,To Smith's Acct from Richd Stephens Book,,,,2,11,,,,September 1759,"Fairfax, George William",2,11,,,,To Smith's account from Richard Stephens Book
"Ledger A, 1750 - 1772: pg.1",Debit,Left,1760,Jany,,To Ditto from Jno. Foster,,,,1,17,9,,,January 1760,"Fairfax, George William",1,17,9,,,To Smith's account from John Foster
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,To 3 Tobo Hhds of Humphrey Knight,,,,,9,,,,January 1760,"Fairfax, George William",,9,,,,To 3 Tobacco Hogsheads of Humphrey Knight
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,To Colo. Tuckers Skipper for ½ a Tierce Mus: Sugar,,,,7,9,,,,January 1760,"Fairfax, George William",7,9,,,,To Colonel Tuckers Skipper for 1/2 a Tierce Muscovado Sugar
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,May,13,To Smiths Acct since the first of Jany last,,,,3,3,7,,,13 May 1760,"Fairfax, George William",3,3,7,,,To Smiths account since the first of January last
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,[Total],,,£,45,14,8,,,1760,"Fairfax, George William",45,14,8,,,[Total]
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,May,23d,"To Sundrys Credited in my Acct pr Settlemt of this date, not chargd above",,,,1,9,,,,23 May 1760,"Fairfax, George William",1,9,,,,"To Sundrys Credited in my account per Settlement of this date, not charged above"
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,To Balle Acct paid this day,,,,14,10,8 1/2,,,23 May 1760,"Fairfax, George William",14,10,"8,5",,,To Balance account paid this day
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,[Total],,,£,61,14,4 1/2,,,1760,"Fairfax, George William",61,14,"4,5",,,[Total]
"Ledger A, 1750 - 1772: pg.1",Debit,Left,,,,To Acct Carried to Folio |105|,,,,,,,,,May 1760,"Fairfax, George William",,,,,,To account Carried to Folio 105
"Ledger A, 1750 - 1772: pg.1",Credit,Right,,,,,,,,,,,,,,"Fairfax, George William",,,,,,
"Ledger A, 1750 - 1772: pg.1",Credit,Right,1751,Septr,12,By Cash in full,,,,11,16,3,,,12 September 1751,"Fairfax, George William",11,16,3,,,By Cash in full
"Ledger A, 1750 - 1772: pg.1",Credit,Right,,,,[Total],,,£,11,16,3,,,1751,"Fairfax, George William",11,16,3,,,[Total]
"Ledger A, 1750 - 1772: pg.1",Credit,Right,1752,,,By a Quarter built by your Carpenters,,,,,,,,,1752,"Fairfax, George William",,,,,,By a Quarter built by your Carpenters
"Ledger A, 1750 - 1772: pg.1",Credit,Right,1754,December,,By 8 pr Negros Shoes,,,,1,16,,,,December 1754,"Fairfax, George William",1,16,,,,By 8 pair Negros Shoes
"Ledger A, 1750 - 1772: pg.1",Credit,Right,,,,By Butter,,,,,,,,,1754,"Fairfax, George William",,,,,,By Butter
"Ledger A, 1750 - 1772: pg.1",Credit,Right,,,,By Sundry quitrents arising on my Lands,,,,15,4,,,,1754,"Fairfax, George William",15,4,,,,By Sundry quitrents arising on my Lands
"Ledger A, 1750 - 1772: pg.1",Credit,Right,,,,By 4 days Jobbing your Carpenters,,,,1,4,,,,1754,"Fairfax, George William",1,4,,,,By 4 days Jobbing your Carpenters
"Ledger A, 1750 - 1772: pg.1",Credit,Right,,,,By 2 M Flouring Brads,,,,1,,,,,1754,"Fairfax, George William",1,,,,,By 2 M Flouring Brads
"Ledger A, 1750 - 1772: pg.1",Credit,Right,,,,By 8 lb. Yellow Oaker,,,,,,,,,1754,"Fairfax, George William",,,,,,By 8 pound Yellow Oaker
"Ledger A, 1750 - 1772: pg.1",Credit,Right,,,,By Jno. Collerile bringing my Goods from York,,,,4,16,7 1/2,,,1754,"Fairfax, George William",4,16,"7,5",,,By John Collerile bringing my Goods from York
