BK_SOURCE,BK_DEBIT_CREDIT,BK_SOURCE,Year,Month,Day,entry,Page,,£,£,sh,d,$,¢,BK_WHEN,BK_ECONOMIC_UNIT,BK_MONEY,BK_MONEY,BK_MONEY,BK_MONEY,BK_MONEY,BK_ENTRY,,
"Ledger B, 1772 - 1793: pg.3",Debit,Left,,,,,,,,,,,,,1772,Cash,,,,,,,,
"Ledger B, 1772 - 1793: pg.3",Debit,Left,1772,Jany,1,To Balle of Cash brot from Ledger A,350,,£,£371,4,1,,,1 January 1772,Cash,371,4,1,,,To Balance of Cash brought from Ledger A,,
"Ledger B, 1772 - 1793: pg.3",Debit,Left,,,,To Cash Won at Cards,48,,,6,2,,,,1 January 1772,Cash,6,2,,,,To Cash Won at Cards,,
"Ledger B, 1772 - 1793: pg.3",Debit,Left,,Feby,22,To Ditto recd of Colo.  Fairfax £14.0.0 & £2.8.10,,,,16,8,10,,,22 February 1772,Cash,16,8,10,,,To cash received of Colonel Fairfax £14.0.0 & £2.8.10,,
"Ledger B, 1772 - 1793: pg.3",Debit,Left,,,28,To Ditto Receivd from Captn Weedon weav'g,,,,2,10,,,,28 February 1772,Cash,2,10,,,,To cash Received from Captain Weedon weaving,,
"Ledger B, 1772 - 1793: pg.3",Debit,Left,,Mar.,4,To Cards,48,,,,5,,,,4 March 1772,Cash,,5,,,,To Cards,,
"Ledger B, 1772 - 1793: pg.3",Debit,Left,,,6,To Cash recd from Richd Croshe Graves for 2139 lbs. of Porke sold Colo.  Ruffin from King Wm Quartr,,,,32,1,9,,,6 March 1772,Cash,32,1,9,,,To Cash received from Richard Croshe [Croshor] Graves for 2139 pounds of Pork sold Colonel Ruffin from King William Quarter,,
"Ledger B, 1772 - 1793: pg.3",Debit,Left,,,10,"To Ditto recd from Do, on Acct of Porke Sold to Sundries from Mr Custis's Plantations pr my Credits in his Acct",,,,118,3,10,,,10 March 1772,Cash,118,3,10,,,"To cash received from Richard Croshe [Croshor] Graves, on Account of Pork Sold to Sundries from Mr. Custis's Plantations per my Credits in his Account",,
"Ledger B, 1772 - 1793: pg.3",Debit,Left,,,,To Ditto receivd of Mr James Hill on Acct of Rents due Mr Custis,,,,21,,,,,10 March 1772,Cash,21,,,,,To cash received of Mr. James Hill on Account of Rents due Mr. Custis,,
"Ledger B, 1772 - 1793: pg.3",Debit,Left,,,25,To Ditto Recd from James Biggs pd Colo.  [Littleton] Eyre for Rent of Smiths Island,,,,15,,,,,25 March 1772,Cash,15,0,0,,,To cash Received from James Biggs paid Colonel [Littleton] Eyre for Rent of Smith Island,,
"Ledger B, 1772 - 1793: pg.3",Debit,Left,,,,To Ditto Recd from Peter Gillett & Thos McLin Tenants of Mr Custis £5.[0].[0] each,,,,10,,,,,25 March 1772,Cash,10,,,,,To Cash Received from Peter Gillett & Thomas McLin Tenants of Mr. Custis £5 each,,
"Ledger B, 1772 - 1793: pg.3",Debit,Left,,,,To Cash won at Cards,,,,,7,6,,,25 March 1772,Cash,,7,6,,,To Cash won at Cards,,
"Ledger B, 1772 - 1793: pg.3",Debit,Left,,,,To amt carrd over,,,£,593,3,0,,,25 March 1772,Cash,593,3,0,,,To amount carried over,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,,,,,,,,,,,1772,Cash,,,,,,,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,1772,Jany,1,By Cash paid Mr Cunningham of Alexa. for Sundry Branding Iron's from Philada,,,,3,16,0,,,1 January 1772,Cash,3,16,0,,,By Cash paid Mr Cunningham of Alexandria for Sundry Branding Irons from Philadelphia,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,5,By my Expens. at Arrells Settling Colo. Colvills Estate Accts with ye [the] Assignees of J[ohn] Semple,21,,,1,17,9,,,5 January 1772,Cash,1,17,9,,,By my Expense at Arell's Settling Colonel Thomas Colvill's Estate Accounts with the Assignees of John Semple,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,,By Michl Gretter for 1 Qr of Beef 46 lb. @ 3d.,,,,,11,6,,,5 January 1772,Cash,,11,6,,,By Michael Gratter for 1 Quarter of Beef 46 pounds at 3 pence,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,7,By Lund Washington,,,,12,,,,,7 January 1772,Cash,12,,,,,By Lund Washington,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,,By Freight of Oats &ca from the Eastn Shore,,,,10,13,4,,,7 January 1772,Cash,10,13,4,,,By Freight of Oats & ca from the Eastern Shore,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,10,By a Mare bought of Edwd Woffing,,,,5,,,,,10 January 1772,Cash,5,,,,,By a Mare bought of Edward Woffing,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,,By Susanna Bishop—layg Doll & Knittg a pr of Stockings,,,,,15,,,,10 January 1772,Cash,,15,,,,By Susanna Bishop laying Doll & Knitting a pair of Stockings,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,15,By Colo. Fairfax's Servants,,,,1,10,,,,15 January 1772,Cash,1,10,,,,By Colonel Fairfax's Servants,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,,By Jonathan Palmer,,,,5,,,,,15 January 1772,Cash,5,,,,,By Jonathan Palmer,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,19,By Thomas Williams,,,,2,10,,,,19 January 1772,Cash,2,10,,,,By Thomas Williams,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,23,By Mr Richardson of Geo: Town for Bottles £10.10.0 Pensa equal to Virga,,,,7,17,6,,,23 January 1772,Cash,7,17,6,,,By Mr Thomas Richardson of George Town for Bottles £10.10.0 Pennsylvania equal to Virginia,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,24,By a pair of Leather Breeches for Will,,,,1,10,,,,24 January 1772,Cash,1,10,0,,,By a pair of Leather Breeches for Will,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,,By Dominicus Hovenor,,,,2,10,,,,24 January 1772,Cash,2,10,,,,By Dominicus Hovenor,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,Feby,10,By Mrs Washington,,,,5,,,,,,Cash,5,0,0,,,By Mrs Washington,,
