BK_SOURCE,BK_DEBIT_CREDIT,BK_SOURCE,Year,Month,Day,entry,Page,,£,£,sh,d,$,¢,BK_WHEN,BK_ECONOMIC_UNIT,BK_MONEY,BK_MONEY,BK_MONEY,BK_MONEY,BK_MONEY,BK_ENTRY,,
"Ledger C, 1790 - 1799: pg.1",,Left,,,,,,,,,,,,,,"Washington, Lund",,,,,,,,
"Ledger C, 1790 - 1799: pg.1",,Left,1790,Septr,,To Sundry Items from Ledger B.,Folo 315,,£,18,18,8,,,September 1790,"Washington, Lund",18,18,8,,,To Sundry Items from Ledger B.,,
"Ledger C, 1790 - 1799: pg.1",,Left,1791,July,9,To Cash pr receipt,do,,,30,,,,,9 July 1791,"Washington, Lund",30,0,0,,,To Cash per receipt,,
"Ledger C, 1790 - 1799: pg.1",,Left,1792,Octobr,3,To Ditto Ditto,do,,,105,,,,,3 October 1792,"Washington, Lund",105,0,0,,,To Cash per receipt,,
"Ledger C, 1790 - 1799: pg.1",,Left,1793,July,7,To Ditto Ditto,do,,,525,,,,,7 July 1793,"Washington, Lund",525,0,0,,,To Cash per receipt,,
"Ledger C, 1790 - 1799: pg.1",,Left,1792,Octr,8,To Ditto Omitted,,,,300,,,,,8 October 1792,"Washington, Lund",300,0,0,,,To Cash per receipt Omitted,,
"Ledger C, 1790 - 1799: pg.1",,Left,1794,July,8,To Ditto,,,,500,,,,,8 July 1794,"Washington, Lund",500,0,0,,,To Cash per receipt Omitted,,
"Ledger C, 1790 - 1799: pg.1",,Left,,,,[Total],,,£,1478,18,8,,,,"Washington, Lund",1478,18,8,,,[Total],,
"Ledger C, 1790 - 1799: pg.1",,Left,,,,,,,,,,,,,,"Gildart, James",,,,,,,,
"Ledger C, 1790 - 1799: pg.1",,Left,1793,,,To Amount brought from Ledger B,11,,£,Sterling 34,6,9 ½,,,1793,"Gildart, James",34,6,"9,5",,,To Amount brought from Ledger B,,
"Ledger C, 1790 - 1799: pg.1",,Left,,,,,,,,,,,,,,,,,,,,,,
"Ledger C, 1790 - 1799: pg.1",,Left,1793,,,To Balance Brought from Ledger B,14,,£,Stg 104,3,3,,,1793,,104,3,3,,,To Balance Brought from Ledger B,,
"Ledger C, 1790 - 1799: pg.1",,Left,,,,,,,,,,,,,,,,,,,,,,
"Ledger C, 1790 - 1799: pg.1",,Left,1793,,,To Balance Brought from Ledger B,12,,£,Va Cy 38,14,5,,,1793,,38,14,5,,,To Balance Brought from Ledger B,,
"Ledger C, 1790 - 1799: pg.1",,Left,,,,,,,,,,,,,,,,,,,,,,
