BK_ID,BK_WHEN,BK_QUANTITY,BK_WHAT,db_identifier,is_piano_reduction,piano_reduction_type,title.makro,gnd_id.work,title.work,unmodified_gnd_data.x,gnd_id.composer,name..composer,date_of_birth,date_of_death,place_of_birth,place_of_death,place_of_activity,geographic_area_code.y,gender,name.instrument,display_as.instrument,name.genre,display_as.genre
1,1809-01-17,150,print,HO_00017_00017_NN_N,0,,Wanderung d. Sängers,1217439552,Wanderung des Sängers,1,1170273157,"Reiner, Joseph Ewald",NULL,NULL,,,"Warta Bolesławiecka, Halle (Saale), Ostritz",XA-PL,m,Klavier,Klavier (Saitenklavier (Saiteninstrument (Musikinstrument))),Lied,Lied ( Musikalische Form Vokalmusik ( Musik))
1,1809-01-17,150,print,HO_00017_00017_NN_N,0,,Wanderung d. Sängers,1217439552,Wanderung des Sängers,1,1170273157,"Reiner, Joseph Ewald",NULL,NULL,,,"Warta Bolesławiecka, Halle (Saale), Ostritz",XA-PL,m,Klavier,Klavier (Saitenklavier (Saiteninstrument (Musikinstrument))),,
2,1809-05-19,50,print,HO_00017_00017_NN_N,0,,Wanderung d. Sängers,1217439552,Wanderung des Sängers,1,1170273157,"Reiner, Joseph Ewald",NULL,NULL,,,"Warta Bolesławiecka, Halle (Saale), Ostritz",XA-PL,m,Klavier,Klavier (Saitenklavier (Saiteninstrument (Musikinstrument))),Lied,Lied ( Musikalische Form Vokalmusik ( Musik))
2,1809-05-19,50,print,HO_00017_00017_NN_N,0,,Wanderung d. Sängers,1217439552,Wanderung des Sängers,1,1170273157,"Reiner, Joseph Ewald",NULL,NULL,,,"Warta Bolesławiecka, Halle (Saale), Ostritz",XA-PL,m,Klavier,Klavier (Saitenklavier (Saiteninstrument (Musikinstrument))),,
3,1814-02-25,50,print,HO_00017_00017_NN_N,0,,Wanderung d. Sängers,1217439552,Wanderung des Sängers,1,1170273157,"Reiner, Joseph Ewald",NULL,NULL,,,"Warta Bolesławiecka, Halle (Saale), Ostritz",XA-PL,m,Klavier,Klavier (Saitenklavier (Saiteninstrument (Musikinstrument))),Lied,Lied ( Musikalische Form Vokalmusik ( Musik))
3,1814-02-25,50,print,HO_00017_00017_NN_N,0,,Wanderung d. Sängers,1217439552,Wanderung des Sängers,1,1170273157,"Reiner, Joseph Ewald",NULL,NULL,,,"Warta Bolesławiecka, Halle (Saale), Ostritz",XA-PL,m,Klavier,Klavier (Saitenklavier (Saiteninstrument (Musikinstrument))),,
4,1809-01-14,150,print,HO_00020_00020_NN_N,0,,Gesellschaftslied,1217442715,Gesellschaftslied,1,1217442642,"Richter, Friedrich",NULL,NULL,,,,XA,m,Klavier,Klavier (Saitenklavier (Saiteninstrument (Musikinstrument))),,
4,1809-01-14,150,print,HO_00020_00020_NN_N,0,,Gesellschaftslied,1217442715,Gesellschaftslied,1,1217442642,"Richter, Friedrich",NULL,NULL,,,,XA,m,Klavier,Klavier (Saitenklavier (Saiteninstrument (Musikinstrument))),Lied,Lied ( Musikalische Form Vokalmusik ( Musik))
5,1809-03-21,50,print,HO_00020_00020_NN_N,0,,Gesellschaftslied,1217442715,Gesellschaftslied,1,1217442642,"Richter, Friedrich",NULL,NULL,,,,XA,m,Klavier,Klavier (Saitenklavier (Saiteninstrument (Musikinstrument))),,
5,1809-03-21,50,print,HO_00020_00020_NN_N,0,,Gesellschaftslied,1217442715,Gesellschaftslied,1,1217442642,"Richter, Friedrich",NULL,NULL,,,,XA,m,Klavier,Klavier (Saitenklavier (Saiteninstrument (Musikinstrument))),Lied,Lied ( Musikalische Form Vokalmusik ( Musik))
