bk_when,bk_text,Acct,Pounds,Shillings,Pence,bk_amount (L),bk_amount (s),bk_amount (d)
06/30/1790,To Cash paid Jn. Grant,14,16,16,,,,
07/03/1790,Paul Staunton,21,50,,,,,
07/04/1790,Lock & Son,36,178,14,8,,,
,for £1000 India House @135pr. Ct. £1550. - . -,,,,,,,
,      £3000 D                    @155 1/4        4675. 10. - ,,,,,,,
,      £725 D                      @156               1131. - . -,,,,,,,
,                                                                  7338. 10. - ,,,,,,,
,                                                     Broker.      5. 18. - ,38,'7,344',8,,,,
07/13/1790,Sir John Menzies ,51,39,16,1,,,
07/16/1790,Mrs. Figgott,59,25,,,,,
07/27/1790,Dr. Hemming ,85,20,,,,,
08/03/1790,Aug. Tallon,101,23,19,10,,,
08/05/1790,Him,108,50,,,,,
08/14/1790,Marianne Cockburns bill,129,160,,,,,
09/15/1790,for Protest J G H Mason Hon. Strachey £480,196,,8,,7909,2,7
,Do.  R Williams on Andrw. Williams         200,,,8,,,,
,Do. JJ Handyman on Mrs England            100,,,8,,,,
09/25/1790,Mr Goodwin,222,26,5,,,,
09/29/1790,the Phoenix Fire Office (alfrs?) Jnsce. Of Tax to Michs. 1791,222,1,19,6,,,
09/30/1790,Mr Goodwin,3,21,,,,,
10/02/1790,Do. ,7,40,,,,,
,'Ann Bale''s bill',,12,10,,,,
10/05/1790,Horcy & Co,12,54,12,1,,,
,sent him ? Post to Birmingham a Bank Post Bill,14,25,,,,,
10/07/1790,Lady Staunton,16,31,10,,,,
,Discount on £1158. 9. 4 at 4 (%?) Cont,,11,12,,,,
,David Henderson,18,13,19,1,,,
10/08/1790,Mr Hay,10,,12,7,,,
,Mr H(oldes?),,24,13,8,,,
,Mr Nairne ,,76,5,,,,
,Mr Rofs,11,60,17,3,413,,2
10/09/1790,Mr Whele,21,7,8,,,,
,Mar. Denison,,31,10,,,,
,Mr Small,,49,2,,,,
,Mrs Ingram ,,26,9,3,,,
,Mrs Shilsbury ,,5,2,,,,
,Mr Norton,23,39,12,9,,,
,Mr Langton,24,50,9,6,,,
,Mr Anderson,,7,13,10,,,
10/11/1790,'Martin Denison''s draft',16,31,10,,,,
,Mr Rofs,,24,13,,,,
10/12/1790,Mr (Oliphant?),28,12,,,,,
10/13/1790,Mrs Baker ,21,7,14,8,,,
10/15/1790,Mr Freeman,23,27,14,3,,,
10/16/1790,Mr Webbe,37,5,6,2,,,
,Mr Mackey ,41,31,10,,,,
10/19/1790,Mr Beck??ith,44,12,12,,,,
,Mr Groome,,8,2,8,378,10,1
,                                                                                      Carrd. over,1263,,,,£8700,12,10
