bk_when,bk_text,Acct,Pounds,Shillings,Pence,bk_amount (L),bk_amount (s),bk_amount (d)
01/09/1790,By Cash reced pr. ct. reced.,191,240,,,,,
01/14/1790,for Collins &Co. rce. to  Sr. G L Staunton,203,780,1,10,,,
,3500 4p. 6pr. ct. @ 100p. c 3500. - . -    /   8162.10 . -,,,,,,,
,Brokerg. £7.10 - ,,,,,,,
,2 Transfers 1.4. -                 8.14.-,31,8153,16,,,,
01/23/1790,Collins & Co. Note,227,40,,,,,
,D,,30,,,,,
,D,,40,,,,,
02/13/1790,Gleadowe & Co.  on Burton & Co.,48,13,8,8,,,
02/19/1790,the Xmas Divd. on £1000 India Stock,99,40,,,,,
03/02/1790,reced,90,26,5,,,,
03/12/1790,Lynch &Co.          on Kerwan & Co.,145,103,18,3,,,
04/09/1790,the Lady Day Divd. on £500 Bank Stock,205,17,10,,,,
,at the India House. 1/4 Anny. to 25 Ulto.,207,125,,,'9,484',19,9
05/26/1790 ,for £3000    5pr. ct. @ 112 1/4 p. c. £3367.10. -,,,,,,,
,      £1100    D             @ 112 1/2          1237.10. -,,,,,,,
,      £3000    D             @ 112 3/8          3371.5. - ,,,,,,,
,                                                                  7976.5. -,,,,,,,
,         Broker.                             £8. 17. 6,,,,,,,
,         Passing a Power of Atty. - . 2. 6          9. - . -,96,7967,5,,,,
,,,,,,8092,5,
,,,,,,17577,4,9
